call_stack,all_func_names,num_calls,severity,exclusive_runtimes,TotalRuntimeSum(AllFunc),severity_trunc,sev_bin_upper_bound
2bf899,"OpenMP_Parallel_Region Grid::XconjugateWilsonImpl<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, Grid::FundamentalRep<3>, Grid::CoeffReal>::DoubleStore(Grid::GridBase*, Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 8> >&, Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 4> > const&) [{/autofs/nccs-svm1_home1/ckelly/bld/Grid_crusher_Xconj_PrgEnv-amd_TAUinst_select/HMC/Mobius2p1fIwasakiXconj3dirs_16I} {0, 0}]",1,0.0011086544695680363,1752,16756150,0.0,0.1
252eff,"void Grid::XmlReader::readDefault<TwoFlavorActionParameters>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<TwoFlavorActionParameters, std::allocator<TwoFlavorActionParameters> >&) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/serialisation/XmlIO.h} {180}]",1,9.49732555312424e-06,16,,0.0,0.1
928b12,"void TwoFlavorActionParameters::read<Grid::XmlReader>(Grid::Reader<Grid::XmlReader>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, TwoFlavorActionParameters&) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/HMC/Mobius2p1fIwasakiXconj3dirs_16I.cc} {94}]",1,3.165775184374747e-06,6,,0.0,0.1
442905,"bool pugi::impl::(anonymous namespace)::strcpy_insitu<char*, unsigned long>(char*&, unsigned long&, unsigned long, char const*, unsigned long) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/pugixml/pugixml.cc} {2365}]",1,3.798930221249696e-06,7,,0.0,0.1
3ce5ad,pugi::impl::(anonymous namespace)::xml_allocator::allocate_string(unsigned long) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/pugixml/pugixml.cc} {646}],1,1.899465110624848e-06,4,,0.0,0.1
25d2fa,"Grid::XmlReader::XmlReader(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/serialisation/XmlIO.cc} {100}]",1,0.00019754437150498418,313,,0.0,0.1
dc58a6,"pugi::impl::(anonymous namespace)::load_file_impl(pugi::impl::(anonymous namespace)::xml_document_struct*, _IO_FILE*, unsigned int, pugi::xml_encoding, char**) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/pugixml/pugixml.cc} {4785}]",1,0.0008971806872518032,1418,,0.0,0.1
a8d685,"Grid::GlobalSharedMemory::SharedMemoryAllocate(unsigned long, int) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/communicator/SharedMemoryMPI.cc} {497}]",1,3.165775184374747e-05,51,,0.0,0.1
f53965,"pugi::impl::(anonymous namespace)::load_buffer_impl(pugi::impl::(anonymous namespace)::xml_document_struct*, pugi::xml_node_struct*, void*, unsigned long, unsigned int, pugi::xml_encoding, bool, bool, char**) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/pugixml/pugixml.cc} {4688}]",1,5.065240294999595e-06,9,,0.0,0.1
d82947,"pugi::impl::(anonymous namespace)::xml_parser::parse(char*, unsigned long, pugi::impl::(anonymous namespace)::xml_document_struct*, pugi::xml_node_struct*, unsigned int) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/pugixml/pugixml.cc} {3514}]",1,3.798930221249696e-06,7,,0.0,0.1
